classname,name,time_seconds,outcome
tests.bridge.test_bridge_backend_and_show,test_user_code_is_the_first_to_import_pyplot,0.379,passed
tests.bridge.test_bridge_backend_and_show,test_the_backend_the_script_asked_for_is_the_one_it_gets[Agg],0.359,passed
tests.bridge.test_bridge_backend_and_show,test_the_backend_the_script_asked_for_is_the_one_it_gets[pdf],0.413,passed
tests.bridge.test_bridge_backend_and_show,test_the_backend_the_script_asked_for_is_the_one_it_gets[svg],0.360,passed
tests.bridge.test_bridge_backend_and_show,test_a_script_that_never_touches_matplotlib_runs_clean,0.038,passed
tests.bridge.test_bridge_backend_and_show,test_show_blocks_by_default_and_returns_after_continue,0.355,passed
tests.bridge.test_bridge_backend_and_show,test_show_block_false_returns_immediately,0.342,passed
tests.bridge.test_bridge_backend_and_show,test_show_is_not_replaced_by_a_permanent_noop,0.368,passed
tests.bridge.test_bridge_e2e,test_end_to_end_on_the_users_own_interpreter,0.599,passed
tests.bridge.test_bridge_e2e,test_the_runner_never_imports_tavotto,0.395,skipped
tests.bridge.test_bridge_e2e,test_module_target_end_to_end,0.588,passed
tests.bridge.test_bridge_e2e,test_a_module_target_without_show_still_knows_its_own_file,0.428,passed
tests.bridge.test_bridge_e2e,test_a_package_main_target_resolves_to_its_dunder_main,0.410,passed
tests.bridge.test_bridge_injection_models,test_naive_sitecustomize_breaks_homebrew_python,0.127,skipped
tests.bridge.test_bridge_injection_models,test_both_models_capture_a_show_only_figure,0.593,passed
tests.bridge.test_bridge_injection_models,test_sitecustomize_leaves_its_directory_on_sys_path_forever,0.598,passed
tests.bridge.test_bridge_injection_models,test_sitecustomize_silently_replaces_the_users_own,0.070,passed
tests.bridge.test_bridge_injection_models,test_sitecustomize_silently_does_nothing_under_E,0.235,passed
tests.bridge.test_bridge_injection_models,test_sitecustomize_does_nothing_under_S,0.014,passed
tests.bridge.test_bridge_injection_models,test_bridge_runner_is_immune_to_E,0.356,passed
tests.bridge.test_bridge_injection_models,test_sitecustomize_infects_every_grandchild_process,0.630,passed
tests.bridge.test_bridge_injection_models,test_sitecustomize_cannot_express_the_target_itself,0.231,passed
tests.bridge.test_bridge_invocation,test_script_invocation_matches_real_python,0.060,passed
tests.bridge.test_bridge_invocation,test_absolute_script_path_keeps_argv0_verbatim,0.061,passed
tests.bridge.test_bridge_invocation,test_module_invocation_matches_real_python,0.065,passed
tests.bridge.test_bridge_invocation,test_bridge_adds_no_interpreter_flags,0.040,passed
tests.bridge.test_bridge_invocation,test_bridge_future_flags_never_leak_into_the_user_script,0.061,passed
tests.bridge.test_bridge_invocation,test_the_scripts_own_future_import_still_works,0.040,passed
tests.bridge.test_bridge_invocation,test_environment_is_inherited_verbatim,0.062,passed
tests.bridge.test_bridge_invocation,test_the_auth_token_never_reaches_the_user_script,0.270,passed
tests.bridge.test_bridge_namespace,test_loading_restores_sys_path_exactly,0.002,passed
tests.bridge.test_bridge_namespace,test_load_and_restore_lists_cover_the_whole_flat_import_closure,0.126,passed
tests.bridge.test_bridge_namespace,test_loading_leaves_no_toplevel_engine_names_behind,0.001,passed
tests.bridge.test_bridge_namespace,test_two_phase_load_never_duplicates_a_module,0.001,passed
tests.bridge.test_bridge_namespace,test_a_failed_load_still_restores_the_user_namespace,0.001,passed
tests.bridge.test_bridge_namespace,test_user_modules_win_over_the_engine_siblings,0.373,passed
tests.bridge.test_bridge_namespace,test_the_late_manifest_import_resolves_inside_the_private_package,0.386,passed
tests.bridge.test_bridge_namespace,test_no_bare_sibling_import_survives_in_overrides,0.002,passed
tests.bridge.test_bridge_thread_model,test_the_session_refuses_to_be_touched_from_another_thread,0.363,passed
tests.bridge.test_bridge_thread_model,test_every_mutating_entry_carries_the_thread_assertion,0.001,passed
tests.bridge.test_bridge_thread_model,test_the_runner_starts_no_background_thread,0.002,passed
tests.bridge.test_bridge_thread_model,test_figures_are_rendered_on_the_thread_that_owns_them,0.363,passed
tests.bridge.test_bridge_thread_model,test_no_engine_module_ever_pickles_a_figure,0.053,passed
tests.bridge.test_bridge_thread_model,test_the_control_channel_only_ever_carries_json,0.436,passed
tests.bridge.test_bridge_thread_model,test_not_pickling_the_figure_is_written_down[pickle],0.001,passed
tests.bridge.test_bridge_thread_model,test_not_pickling_the_figure_is_written_down[multiprocessing],0.001,passed
tests.bridge.test_bridge_transport,test_wire_key_names_match_on_both_sides,0.001,passed
tests.bridge.test_bridge_transport,test_listener_binds_loopback_only,0.343,passed
tests.bridge.test_bridge_transport,test_bad_token_is_rejected_and_the_real_child_still_gets_through,0.336,passed
tests.bridge.test_bridge_transport,test_the_token_is_random_per_session,0.672,passed
tests.bridge.test_bridge_transport,test_the_envelope_comes_from_the_same_function_as_the_pipe_control_plane,0.001,passed
tests.bridge.test_bridge_transport,test_a_noisy_script_never_desyncs_the_control_channel,0.383,passed
tests.bridge.test_bridge_transport,test_disconnecting_never_leaves_the_user_script_hanging,0.377,passed
