# gh api repos/Tavotto/Tavotto/actions/workflows/lab-ci.yml/runs?per_page=30 → 每个 run 的 jobs；抓取 2026-09-15T22:03Z
run_id	job	runner_name	runner_group_name	labels	started_at	conclusion
35028176892	trust-check	GitHub Actions 1000023126	GitHub Actions	ubuntu-latest	2026-09-15T21:54:20Z	success
35028176892	qualify / qualify	tavotto-ci-01	Default	self-hosted,linux,x64,tavotto-lab	2026-09-15T21:54:35Z	
35021310135	trust-check	GitHub Actions 1000022958	GitHub Actions	ubuntu-latest	2026-09-15T20:42:53Z	success
35021310135	qualify / qualify	tavotto-ci-01	Default	self-hosted,linux,x64,tavotto-lab	2026-09-15T20:43:07Z	success
35008885342	trust-check	GitHub Actions 1000022794	GitHub Actions	ubuntu-latest	2026-09-15T18:40:39Z	success
35008885342	qualify / qualify	tavotto-ci-01	Default	self-hosted,linux,x64,tavotto-lab	2026-09-15T18:40:50Z	success
34996027385	trust-check	GitHub Actions 1000022592	GitHub Actions	ubuntu-latest	2026-09-15T16:36:27Z	success
34996027385	qualify / qualify	tavotto-ci-01	Default	self-hosted,linux,x64,tavotto-lab	2026-09-15T16:36:41Z	success
34976872983	trust-check	GitHub Actions 1000022244	GitHub Actions	ubuntu-latest	2026-09-15T13:43:41Z	success
34976872983	qualify / qualify	tavotto-ci-01	Default	self-hosted,linux,x64,tavotto-lab	2026-09-15T13:43:57Z	success
34962909874	trust-check	GitHub Actions 1000022027	GitHub Actions	ubuntu-latest	2026-09-15T11:22:15Z	success
34962909874	qualify / qualify	tavotto-ci-01	Default	self-hosted,linux,x64,tavotto-lab	2026-09-15T11:22:29Z	success
34942664094	trust-check	GitHub Actions 1000021493	GitHub Actions	ubuntu-latest	2026-09-15T07:37:41Z	success
34942664094	qualify / qualify	tavotto-ci-01	Default	self-hosted,linux,x64,tavotto-lab	2026-09-15T07:38:08Z	success
34925455803	trust-check	GitHub Actions 1000021263	GitHub Actions	ubuntu-latest	2026-09-15T03:33:45Z	success
34925455803	qualify / qualify	tavotto-ci-01	Default	self-hosted,linux,x64,tavotto-lab	2026-09-15T03:33:56Z	success
34903149851	trust-check	GitHub Actions 1000020960	GitHub Actions	ubuntu-latest	2026-09-14T22:15:06Z	success
34903149851	qualify / qualify	tavotto-ci-01	Default	self-hosted,linux,x64,tavotto-lab	2026-09-14T22:18:15Z	success
34899326280	trust-check	GitHub Actions 1000020949	GitHub Actions	ubuntu-latest	2026-09-14T21:32:00Z	success
