file,total_seconds,call_seconds,setup_seconds,teardown_seconds,call_rows_ge_5ms
tests/test_invariants_engine.py,182.18,177.13,4.7,0.35,58
tests/test_equivalence_matrix.py,99.98,99.73,0.25,0.0,29
tests/test_manifest_geometry.py,66.72,66.72,0.0,0.0,35
tests/test_project_env.py,55.56,54.39,0.4,0.77,29
tests/test_worker_roundtrip.py,52.8,52.13,0.67,0.0,68
tests/test_workerd_client.py,46.74,11.54,0.14,35.06,11
tests/test_plugin_publish.py,46.63,42.38,4.25,0.0,28
tests/test_colorbar_orientation.py,38.36,38.36,0.0,0.0,33
tests/test_dependency_repair_e2e.py,36.69,36.52,0.0,0.17,10
tests/test_mcp_normalize.py,35.93,35.84,0.01,0.08,17
tests/test_axes_ticks_scale.py,29.44,29.44,0.0,0.0,35
tests/test_codex_install_cli.py,27.58,27.54,0.04,0.0,28
tests/test_script_probe.py,21.65,20.42,0.42,0.81,24
tests/test_codex_plugin.py,20.24,20.17,0.07,0.0,22
tests/test_document_persistence.py,20.04,20.02,0.02,0.0,2
tests/test_thread_leak_gate.py,19.5,19.46,0.04,0.0,4
tests/test_artist_families.py,17.1,14.59,2.45,0.06,37
tests/test_colorbar_resize.py,16.06,16.06,0.0,0.0,12
tests/test_compat_capture_parity.py,15.4,15.4,0.0,0.0,29
tests/test_ci_qualification.py,14.31,14.3,0.01,0.0,20
tests/bridge/test_bridge_transport.py,14.01,14.01,0.0,0.0,7
tests/test_package_management.py,13.8,13.44,0.36,0.0,6
tests/test_mcp_roundtrip.py,13.09,8.14,4.23,0.72,9
tests/test_browser_session.py,12.33,12.33,0.0,0.0,28
tests/test_preview_hybrid.py,11.59,0.0,11.59,0.0,0
tests/test_dependency_repair.py,10.58,10.56,0.02,0.0,7
tests/test_cmap_facts.py,9.76,9.76,0.0,0.0,9
tests/test_tick_sides_geometry.py,9.31,9.3,0.01,0.0,13
tests/test_windows_regressions.py,8.89,8.61,0.28,0.0,25
tests/test_preview_complexity.py,7.94,0.0,7.94,0.0,0
tests/test_browser_auth.py,7.76,0.64,0.12,7.0,8
tests/native/test_run_cli_integration.py,6.95,6.95,0.0,0.0,15
tests/test_desktop_sidecar.py,6.66,3.06,0.1,3.5,6
